"Random.Id","Assignment.Name","Points.Possible","Due.Date","Unlocked.Date","Overall.course.grade","Assignment.on.time.percent","Page.Views","Participations"
27,"OPTIONAL (BONUS POINTS): Choosing a New Skill to Practice for Week 4 Study Habit Challenge (due 09/16 3:25 p.m. or 5:00 p.m.)",0.5,"-","-",78.09,83.0508474576271,615,140
27,"Pre-Lecture Assignment for the 09/14 (T) Class (due 09/14 3:25 p.m. or 5:00 p.m.)",10,"-","-",78.09,83.0508474576271,615,140
27,"Pre-Lecture Assignment for the 08/31 (T) Class (due 08/31 2:30 p.m. or 4:00 p.m.)",10,"-","-",78.09,83.0508474576271,615,140
27,"Pre-Lecture Assignment for the 09/02 (TH) Class (due 9/02 2:30 p.m. or 4:00 p.m.)",10,"-","-",78.09,83.0508474576271,615,140
27,"Pre-lecture Assignment for the 12/02 (TH) Class (due 12/02 3:25 p.m. or 5:00 p.m.)",10,"-","-",78.09,83.0508474576271,615,140
27,"Pre-Lecture Assignment for the 11/09 (T) Class (due 11/09 3:25 p.m. or 5:00 p.m.)",10,"-","-",78.09,83.0508474576271,615,140
27,"Pre-Lecture Assignment for the 09/21 (T) Class (due 09/21 3:25 p.m. or 5:00 p.m.)",10,"-","-",78.09,83.0508474576271,615,140
27,"Post-Lecture Quiz for the 08/24 (T) Class (due 08/25 11:59 p.m.)",20,"Aug 25, 2021","-",78.09,83.0508474576271,615,140
27,"Post-Lecture Quiz for the 08/26 (TH) Class (due 08/27 11:59 p.m.)",20,"Aug 27, 2021","-",78.09,83.0508474576271,615,140
27,"Progress report for the Week 1 study habits challenge (due 08/29 11:59 p.m.)",10,"Aug 29, 2021","-",78.09,83.0508474576271,615,140
27,"Week 1 Reading Quiz (due 08/30 11:59 p.m.)",15,"Aug 30, 2021","-",78.09,83.0508474576271,615,140
27,"Post-Lecture Quiz for the 08/31 (T) Class (due 09/01 11:59 p.m.)",20,"Sep 1, 2021","-",78.09,83.0508474576271,615,140
27,"Post-Lecture Quiz for the 09/02 (TH) Class (due 09/03 11:59 p.m.)",20,"Sep 3, 2021","Sep 2, 2021",78.09,83.0508474576271,615,140
27,"Progress report for the Week 2 study habits challenge (due 09/06 11:59 p.m.)",10,"Sep 6, 2021","Sep 3, 2021",78.09,83.0508474576271,615,140
